Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
11,jll,4,0.1150417,338,Rohrbach,1303,294,0.2256331542594014
12,GLP,150,4.314064,338,Rohrbach,1303,294,0.2256331542594014
13,JGLP,34,0.97785443,338,Rohrbach,1303,294,0.2256331542594014
14,Grüne,172,4.946793,338,Rohrbach,1303,294,0.2256331542594014
15,JGOA,35,1.0066149,338,Rohrbach,1303,294,0.2256331542594014
16,ULO,52,1.495542,338,Rohrbach,1303,294,0.2256331542594014
17,DM,82,2.3583548,338,Rohrbach,1303,294,0.2256331542594014
1,SP Frauen,30,1.8610421,339,Rohrbachgraben,316,135,0.4272151898734177
2,SP Männer,19,1.17866,339,Rohrbachgraben,316,135,0.4272151898734177
3,JUSO,16,0.9925558,339,Rohrbachgraben,316,135,0.4272151898734177
4,EVP,177,10.980148,339,Rohrbachgraben,316,135,0.4272151898734177
5,jevp,12,0.7444169,339,Rohrbachgraben,316,135,0.4272151898734177
6,EVP E,64,3.9702232,339,Rohrbachgraben,316,135,0.4272151898734177
7,Die Mitte,75,4.6526055,339,Rohrbachgraben,316,135,0.4272151898734177
8,EDU,294,18.238214,339,Rohrbachgraben,316,135,0.4272151898734177
9,SVP,611,37.903225,339,Rohrbachgraben,316,135,0.4272151898734177
10,FDP,32,1.9851116,339,Rohrbachgraben,316,135,0.4272151898734177
11,jll,5,0.3101737,339,Rohrbachgraben,316,135,0.4272151898734177
12,GLP,33,2.0471466,339,Rohrbachgraben,316,135,0.4272151898734177
13,JGLP,12,0.7444169,339,Rohrbachgraben,316,135,0.4272151898734177
14,Grüne,35,2.171216,339,Rohrbachgraben,316,135,0.4272151898734177
15,JGOA,14,0.86848634,339,Rohrbachgraben,316,135,0.4272151898734177
16,ULO,45,2.7915633,339,Rohrbachgraben,316,135,0.4272151898734177
17,DM,138,8.560794,339,Rohrbachgraben,316,135,0.4272151898734177
1,SP Frauen,63,3.9597738,340,Rütschelen,441,136,0.30839002267573695
2,SP Männer,53,3.331238,340,Rütschelen,441,136,0.30839002267573695
3,JUSO,5,0.31426775,340,Rütschelen,441,136,0.30839002267573695
4,EVP,153,9.616593,340,Rütschelen,441,136,0.30839002267573695
5,jevp,10,0.6285355,340,Rütschelen,441,136,0.30839002267573695
